"Date","米国株","先進国株（米国除き）","日本株","世界株","新興国株","米国債券総合","新興国国債","コモディティ","ゴールド","ビットコイン","短期金利"
"2005/10/31","0.001992781799293075","-0.0064131716205544365","0.002447052631654234","-0.0015995980332049742","-0.03878371867911912","0.01609554264724533","0.010962660974152438","-0.08033934709670143","0.019028311605800985","#N/A","0.00001"
"2005/11/30","0.07335994380221589","0.05193126391346614","0.09278668948431323","0.06526563004250496","0.08766113666706654","0.03201968964470403","0.0426443340111744","-0.012035678345638345","0.08724396265009982","#N/A","0.00001"
"2005/12/31","-0.016419540278574507","0.036538741105532235","0.08341085089146816","0.009466849891318185","0.04563747693856435","-0.003356229662125454","0.003173433223021771","0.013118234971466691","0.03740659120762979","#N/A","0.00001"
"2006/01/31","0.01819814312721335","0.051707942183257805","0.0331682622467222","0.043045668948295424","0.13549750395293803","-0.0062719903402108645","0.0060765356734775455","0.03679433705325352","0.09158112150841236","#N/A","0.00001"
"2006/02/28","-0.007305305463398359","-0.019865836898051104","-0.02644019086297733","-0.014683916117109619","-0.050957913270890054","-0.01137119168161882","0.008829742665420914","-0.1133076959543623","-0.025818699656647848","#N/A","0.00001"
"2006/03/31","0.0337979780979345","0.057746401433446115","0.05671558643824137","0.038138163212114495","0.03905415182481864","0.008191528406913395","-0.0010147532492044142","0.06855500449223961","0.056569125446001456","#N/A","0.00002"
"2006/04/30","-0.021248261737749075","0.012844111862427843","-0.008750731967523184","-0.0015392274589985933","0.02951428624671637","-0.03489734692572033","-0.03393466212828089","0.027152728116348612","0.08190306978351392","#N/A","0.00002"
"2006/05/31","-0.04111349864019809","-0.04911906815259781","-0.08433163068068728","-0.05056260296914172","-0.12149822831874535","-0.01329724415779876","-0.032578063600895324","-0.0195601382256686","-0.026198581648820385","#N/A","0.0002"
"2006/06/30","0.02007126991971031","0.016795748521566845","0.0026230687656212393","0.016649310546604124","0.019589052510198934","0.01578042356196452","0.014288081263256203","0.02860860348704608","-0.029649867283703224","#N/A","0.00035999999999999997"
"2006/07/31","0.004653967987778174","0.008281350867635817","-0.00319862362633605","0.00675071231979163","0.023608231157362214","0.014066492638587613","0.03399209241112833","0.019604811132303057","0.03333421111201251","#N/A","0.00155"
"2006/08/31","0.04725404023565205","0.05100849107690375","0.04428889862352148","0.05114537947741171","0.041099132931607274","0.0411941920478609","0.05121043245177259","-0.04821669354348501","0.00965944888222503","#N/A","0.0025"
"2006/09/30","0.032252402952819725","0.007342675353746886","0.0025198729471802572","0.01657417785462889","-0.0036395931531059134","0.015280914544484325","0.00997121167232029","-0.10279906669974193","-0.04004659290475687","#N/A","0.00261"
"2006/10/31","0.02128507674297553","0.027200598817790578","0.01679791467576175","0.02701295280874061","0.059960846078185304","-0.0031303535061202314","0.010046207916440508","-0.03510012712025656","0.00022838073492637","#N/A","0.00254"
"2006/11/30","0.010192220795120832","0.020933248925700365","-0.007477095268537237","0.01820836739164644","0.049772559309810394","0.0010139784199434398","0.0029222957432144536","0.04002052586404292","0.06116307403020027","#N/A","0.0025700000000000002"
"2006/12/31","0.042279797622200244","0.061411048524442124","0.05868464073549218","0.051170661308014065","0.08468284018455163","0.02235164678891155","0.036316062451714703","-0.042669519240019826","0.009846810011852725","#N/A","0.00255"
"2007/01/31","0.03005491127652582","0.028929081807273604","0.008951078017734648","0.024674744258436743","0.015947634547859968","0.014079143450981935","0.011470685967876149","-0.011039655358438538","0.040463044956201344","#N/A","0.00267"
"2007/02/28","-0.035937974420367946","-0.017839413178289742","0.012845699882722439","-0.022127909825073955","-0.04847926515576595","-0.0006638929316304942","-0.0002091049387149546","0.01986646049324503","0.008069145372423536","#N/A","0.00357"
"2007/03/31","0.003750071677033784","0.021021894247269746","-0.01365097779160318","0.01189099258855908","0.045183141399775195","-0.009684454889632987","0.00138061600422823","0.016751309475569576","-0.017450274273342448","#N/A","0.00509"
"2007/04/30","0.058035434727166546","0.051133568408561425","0.0065746481964614745","0.057892269350006575","0.05090025669669895","0.019131780826919575","0.019776688013306565","0.017795319735963044","0.03424173191562141","#N/A","0.00511"
"2007/05/31","0.05462304904590609","0.044119865584484774","0.0274703823927005","0.050058613743094726","0.07168282251399449","0.010667874187864967","0.014547679790755552","0.008034742997858002","-0.004414575271395993","#N/A","0.00521"
"2007/06/30","-0.003209008402876634","0.008335216806288237","0.01482191673638078","0.00835968174314683","0.048790623260641874","0.0077694252145430465","-0.010864961105132354","0.04325445374241155","-0.006617764123142411","#N/A","0.0051"
"2007/07/31","-0.06859180147821176","-0.060509822564582594","-0.04912415967385031","-0.05343736008058675","-0.03162024379960093","-0.028169201309239278","-0.04943378669180665","0.007450620685042653","-0.01609452852683524","#N/A","0.00499"
"2007/08/31","-0.009832422236227933","-0.028571629685947175","-0.03926606197531035","-0.025350360268550087","-0.01220125463917121","-0.009869247085358857","-0.01092082347913692","-0.05356004696142724","-0.011550139656497094","#N/A","0.00485"
"2007/09/30","0.029472798448318516","0.04380506758404401","0.017497106745762547","0.044003896289046995","0.10578807320459638","-0.002625134146870045","0.015252158629619705","0.08469445832752864","0.09506178058977133","#N/A","0.0051"
"2007/10/31","0.019308401814013276","0.04840468222587857","-0.002954855086543695","0.04464998948304966","0.1250396935832787","0.015801553928532996","0.0324526934217273","0.06600067218561745","0.0735470712843369","#N/A","0.00506"
"2007/11/30","-0.06897271662137117","-0.06655538825698593","-0.0628598030830455","-0.07454564274980047","-0.10555185507415354","-0.013990307186130924","-0.03532965313044378","-0.03591379029353736","-0.045136391615476223","#N/A","0.005"
